file,segment,ok,error,exact,relres,relres_full,delta_px,stretch_ppm,c0,c1,c2,c3,n_ref,windows_used,windows_total,on_model_lo,on_model_hi,n_native,pitch_start,pitch_end,max_window_relres,seconds
"1092-Test #1092 10 47, Mar 25 2024.03.25.10.47.csv",NIR,1,,1,6.501703530788284e-11,0.0002749451334881026,2.023982069844627,303.19287575921646,0.0674660689948209,5.4425294619806885e-05,-3.442784644297379e-09,-2.717124129943435e-13,866.5810912660887,13,13,623.0333333334336,943.9999999998047,1921,0.19835203550803726,0.15628102874370597,0.0015291152780246137,34.39683794975281
"1112-Test #1112 10 50, Mar 25 2024.03.25.10.50.csv",UV,1,,1,5.8028486096427647e-11,0.00011073729306494017,0.4380931175813161,126.21441359008953,0.014603103919377202,1.1200163158068417e-05,-5.474830287448568e-10,-6.205058120956486e-14,919.5663461700353,13,13,195.4999999999994,358.9333333334137,2091,0.09599423416125319,0.07869545169245384,0.001048158587779743,22.455049753189087
"1112-Test #1112 10 50, Mar 25 2024.03.25.10.50.csv",VIS,1,,1,5.966315225320658e-11,3.946573359530765e-05,1.716224308084517,61.60189450430436,0.05720747693615057,7.958632684869907e-06,-4.411678337619686e-10,-4.000212881603991e-14,935.662048746658,13,13,368.0000000000832,616.6000000001025,1986,0.14168222136987652,0.11292126294449645,0.00036582296778971867,22.45507001876831
"1112-Test #1112 10 50, Mar 25 2024.03.25.10.50.csv",NIR,1,,1,6.268044716400552e-11,0.0002819361135689636,2.023982069844255,303.192875759469,0.0674660689948085,5.4425294619852225e-05,-3.4427846442587927e-09,-2.7171241308332277e-13,866.5810912660887,13,13,623.0333333334336,943.9999999998047,1921,0.19835203550803726,0.15628102874370597,0.0010003509901456524,22.45508313179016
"1083-Test #1083 10 46, Mar 25 2024.03.25.10.46.csv",UV,1,,1,5.906558383741639e-11,0.0005471123234634678,0.43809311758167707,126.21441359010862,0.014603103919389236,1.120016315807011e-05,-5.474830287600999e-10,-6.205058121472042e-14,919.5663461700353,13,13,195.4999999999994,358.9333333334137,2091,0.09599423416125319,0.07869545169245384,0.0009910038255662237,36.42911434173584
"1083-Test #1083 10 46, Mar 25 2024.03.25.10.46.csv",VIS,1,,1,5.952761036671335e-11,5.349835031167873e-05,1.7162243080846158,61.601894504376,0.057207476936153856,7.958632684879162e-06,-4.4116783376329127e-10,-4.000212883024889e-14,935.662048746658,13,13,368.0000000000832,616.6000000001025,1986,0.14168222136987652,0.11292126294449645,0.0003628526593287812,36.42914533615112
"1083-Test #1083 10 46, Mar 25 2024.03.25.10.46.csv",NIR,1,,1,6.67566184757142e-11,0.000209618677259705,2.023982069844576,303.1928757591747,0.0674660689948192,5.4425294619799384e-05,-3.4427846443316144e-09,-2.717124129430454e-13,866.5810912660887,13,13,623.0333333334336,943.9999999998047,1921,0.19835203550792357,0.15628102874370597,0.0008149064252093432,36.42916202545166
"1113-Test #1113 10 50, Mar 25 2024.03.25.10.50.csv",UV,1,,1,5.891192671672259e-11,0.00029475082449438556,0.4380931175813507,126.21441359017942,0.014603103919378357,1.120016315807639e-05,-5.474830287469021e-10,-6.20505812233663e-14,919.5663461700353,13,13,195.4999999999994,358.9333333334137,2091,0.09599423416128161,0.07869545169245384,0.0009670681896167524,22.72559404373169
"1113-Test #1113 10 50, Mar 25 2024.03.25.10.50.csv",VIS,1,,1,5.967025516303825e-11,2.3395411131388003e-05,1.716224308084507,61.60189450455141,0.057207476936150234,7.958632684901825e-06,-4.4116783374479117e-10,-4.00021288446827e-14,935.662048746658,13,13,368.0000000000832,616.6000000001025,1986,0.14168222136987652,0.11292126294438276,0.00028825542107176514,22.725614547729492
"1113-Test #1113 10 50, Mar 25 2024.03.25.10.50.csv",NIR,1,,1,6.169488081482204e-11,0.00017100362703402936,2.0239820698440787,303.1928757593172,0.06746606899480262,5.4425294619824964e-05,-3.442784644262998e-09,-2.717124130433044e-13,866.5810912660887,13,13,623.0333333334336,943.9999999998047,1921,0.19835203550803726,0.15628102874370597,0.0007975472127599061,22.725627660751343
